pop_2012,chart_month,county,eligible_population_enrolled,location,month,opo,population_18_estimate,registry_enrollments,year,dummy_day,date
80026,02 (Feb),Cayuga,21.91,"(42.940095, -76.560755)",2,Finger Lakes Donor Recovery Network,62164,13619,2012,01,2012-02-01
134905,02 (Feb),Chautauqua,30.37,"(42.246904, -79.315313)",2,UNYTS,104794,31827,2012,01,2012-02-01
88830,02 (Feb),Chemung,28.07,"(42.116644, -76.812331)",2,Finger Lakes Donor Recovery Network,69003,19371,2012,01,2012-02-01
50477,02 (Feb),Chenango,22.03,"(42.481798, -75.570013)",2,Finger Lakes Donor Recovery Network,39211,8639,2012,01,2012-02-01
82128,02 (Feb),Clinton,26.54,"(44.731944, -73.548883)",2,Center for Donation and Transplant in New York,63797,16929,2012,01,2012-02-01
63096,02 (Feb),Columbia,29.61,"(42.276913, -73.682168)",2,Center for Donation and Transplant in New York,49013,14511,2012,01,2012-02-01
49336,02 (Feb),Cortland,26.97,"(42.597101, -76.143291)",2,Finger Lakes Donor Recovery Network,38324,10336,2012,01,2012-02-01
47980,02 (Feb),Delaware,20.43,"(42.242972, -74.997944)",2,Center for Donation and Transplant in New York,37271,7615,2012,01,2012-02-01
297488,02 (Feb),Dutchess,22.54,"(41.686216, -73.840468)",2,Center for Donation and Transplant in New York,231089,52080,2012,01,2012-02-01
919040,02 (Feb),Erie,26.97,"(42.888143, -78.795544)",2,UNYTS,713910,192533,2012,01,2012-02-01
39370,02 (Feb),Essex,28.53,"(44.166026, -73.685145)",2,Center for Donation and Transplant in New York,30583,8726,2012,01,2012-02-01
51599,02 (Feb),Franklin,24.93,"(44.705699, -74.340621)",2,Center for Donation and Transplant in New York,40082,9992,2012,01,2012-02-01
55531,02 (Feb),Fulton,21.33,"(43.06014, -74.331296)",2,Center for Donation and Transplant in New York,43136,9200,2012,01,2012-02-01
60079,02 (Feb),Genesee,28.7,"(43.000121, -78.172679)",2,UNYTS,46669,13394,2012,01,2012-02-01
49221,02 (Feb),Greene,25.62,"(42.298326, -73.973376)",2,Center for Donation and Transplant in New York,38235,9797,2012,01,2012-02-01
4836,02 (Feb),Hamilton,28.56,"(43.618468, -74.395268)",2,Center for Donation and Transplant in New York,3757,1073,2012,01,2012-02-01
64519,02 (Feb),Herkimer,24.58,"(43.070026, -74.994246)",2,Center for Donation and Transplant in New York,50118,12319,2012,01,2012-02-01
116229,02 (Feb),Jefferson,28.96,"(44.019295, -75.898971)",2,Finger Lakes Donor Recovery Network,90287,26143,2012,01,2012-02-01
2504700,02 (Feb),Kings,9.91,"(40.65642, -73.950691)",2,New York Organ Donor Network,1945651,192840,2012,01,2012-02-01
27087,02 (Feb),Lewis,29.15,"(43.785537, -75.446296)",2,Finger Lakes Donor Recovery Network,21041,6134,2012,01,2012-02-01
65393,02 (Feb),Livingston,26.12,"(42.763754, -77.765392)",2,Finger Lakes Donor Recovery Network,50797,13269,2012,01,2012-02-01
73442,02 (Feb),Madison,23.84,"(42.986917, -75.720031)",2,Finger Lakes Donor Recovery Network,57050,13600,2012,01,2012-02-01
744344,02 (Feb),Monroe,22.19,"(43.161748, -77.620143)",2,Finger Lakes Donor Recovery Network,578206,128281,2012,01,2012-02-01
50219,02 (Feb),Montgomery,19.91,"(42.933637, -74.341972)",2,Center for Donation and Transplant in New York,39010,7768,2012,01,2012-02-01
1339532,02 (Feb),Nassau,16.27,"(40.715749, -73.601185)",2,New York Organ Donor Network,1040548,169337,2012,01,2012-02-01
1585873,02 (Feb),New York,23.41,"(40.726966, -74.005966)",2,New York Organ Donor Network,1231906,288352,2012,01,2012-02-01
216469,02 (Feb),Niagara,31.3,"(43.134634, -78.856419)",2,UNYTS,168153,52640,2012,01,2012-02-01
234878,02 (Feb),Oneida,14.42,"(43.149482, -75.361773)",2,Center for Donation and Transplant in New York,182453,26309,2012,01,2012-02-01
467026,02 (Feb),Onondaga,24.6,"(43.065629, -76.168033)",2,Finger Lakes Donor Recovery Network,362786,89234,2012,01,2012-02-01
107931,02 (Feb),Ontario,30.44,"(42.894571, -77.252045)",2,Finger Lakes Donor Recovery Network,83841,25520,2012,01,2012-02-01
372813,02 (Feb),Orange,18.29,"(41.422459, -74.241929)",2,New York Organ Donor Network,289601,52973,2012,01,2012-02-01
42883,02 (Feb),Orleans,6.65,"(43.248394, -78.218438)",2,UNYTS,33312,2216,2012,01,2012-02-01
122109,02 (Feb),Oswego,22.59,"(43.39123, -76.31133)",2,Finger Lakes Donor Recovery Network,94854,21423,2012,01,2012-02-01
62259,02 (Feb),Otsego,26.82,"(42.564852, -75.060334)",2,Center for Donation and Transplant in New York,48363,12969,2012,01,2012-02-01
42155,01 (Jan),Wyoming,29.01,"(42.723641, -78.204473)",1,UNYTS,32746,9499,2012,01,2012-01-01
99710,02 (Feb),Putnam,24.02,"(41.41131, -73.717443)",2,New York Organ Donor Network,77455,18606,2012,01,2012-02-01
2230722,02 (Feb),Queens,8.16,"(40.749338, -73.789673)",2,New York Organ Donor Network,1732825,141316,2012,01,2012-02-01
159429,02 (Feb),Rensselaer,22.8,"(42.70098, -73.628669)",2,Center for Donation and Transplant in New York,123844,28237,2012,01,2012-02-01
468730,02 (Feb),Richmond,11.75,"(40.566763, -74.148102)",2,New York Organ Donor Network,364109,42766,2012,01,2012-02-01
311687,02 (Feb),Rockland,14.78,"(41.127287, -74.017033)",2,New York Organ Donor Network,242118,35779,2012,01,2012-02-01
219607,02 (Feb),Saratoga,33.03,"(43.00894, -73.786779)",2,Center for Donation and Transplant in New York,170591,56354,2012,01,2012-02-01
154727,02 (Feb),Schenectady,27.46,"(42.809233, -73.946838)",2,Center for Donation and Transplant in New York,120192,33007,2012,01,2012-02-01
32749,02 (Feb),Schoharie,27.1,"(42.643426, -74.434606)",2,Center for Donation and Transplant in New York,25439,6893,2012,01,2012-02-01
18343,02 (Feb),Schuyler,26.59,"(42.38593, -76.872032)",2,Finger Lakes Donor Recovery Network,14249,3789,2012,01,2012-02-01
35251,02 (Feb),Seneca,13.36,"(42.833627, -76.82753)",2,Finger Lakes Donor Recovery Network,27383,3658,2012,01,2012-02-01
98990,02 (Feb),Steuben,27.54,"(42.270053, -77.324618)",2,Finger Lakes Donor Recovery Network,76895,21178,2012,01,2012-02-01
111944,02 (Feb),St Lawrence,24.33,"(44.689468, -75.242045)",2,Center for Donation and Transplant in New York,86958,21161,2012,01,2012-02-01
1493350,02 (Feb),Suffolk,20.92,"(40.820237, -73.119032)",2,New York Organ Donor Network,1160034,242627,2012,01,2012-02-01
77547,02 (Feb),Sullivan,17.89,"(41.705166, -74.711705)",2,Center for Donation and Transplant in New York,60239,10776,2012,01,2012-02-01
51125,02 (Feb),Tioga,27.52,"(42.120252, -76.29595)",2,Center for Donation and Transplant in New York,39714,10930,2012,01,2012-02-01
101564,02 (Feb),Tompkins,39.11,"(42.461024, -76.478784)",2,Finger Lakes Donor Recovery Network,78895,30858,2012,01,2012-02-01
19378102,02 (Feb),TOTAL NYS,18.01,NA,2,NA,15052907,2710718,2012,01,2012-02-01
182493,02 (Feb),Ulster,22.95,"(41.848374, -74.099412)",2,Center for Donation and Transplant in New York,141761,32529,2012,01,2012-02-01
65707,02 (Feb),Warren,21.74,"(43.403024, -73.716044)",2,Center for Donation and Transplant in New York,51041,11098,2012,01,2012-02-01
63216,02 (Feb),Washington,22.11,"(43.289513, -73.454761)",2,Center for Donation and Transplant in New York,49106,10855,2012,01,2012-02-01
93772,02 (Feb),Wayne,21.04,"(43.144336, -77.117995)",2,Finger Lakes Donor Recovery Network,72842,15328,2012,01,2012-02-01
949113,02 (Feb),Westchester,17.47,"(41.039278, -73.805386)",2,New York Organ Donor Network,737271,128768,2012,01,2012-02-01
42155,02 (Feb),Wyoming,29.22,"(42.723641, -78.204473)",2,UNYTS,32746,9568,2012,01,2012-02-01
25348,02 (Feb),Yates,27.42,"(42.634338, -77.078311)",2,Finger Lakes Donor Recovery Network,19690,5399,2012,01,2012-02-01
304204,01 (Jan),Albany,21.96,"(42.678066, -73.814233)",1,Center for Donation and Transplant in New York,236306,51884,2012,01,2012-01-01
48946,01 (Jan),Allegany,25.74,"(42.226801, -78.020567)",1,UNYTS,38021,9786,2012,01,2012-01-01
1385108,01 (Jan),Bronx,8.41,"(40.85589, -73.868294)",1,New York Organ Donor Network,1075952,90438,2012,01,2012-01-01
200600,01 (Jan),Broome,25.28,"(42.122015, -75.933191)",1,Center for Donation and Transplant in New York,155826,39388,2012,01,2012-01-01
80317,01 (Jan),Cattauragus,35.71,"(42.224267, -78.606673)",1,UNYTS,62390,22278,2012,01,2012-01-01
80026,01 (Jan),Cayuga,21.63,"(42.940095, -76.560755)",1,Finger Lakes Donor Recovery Network,62164,13448,2012,01,2012-01-01
134905,01 (Jan),Chautauqua,30.16,"(42.246904, -79.315313)",1,UNYTS,104794,31605,2012,01,2012-01-01
88830,01 (Jan),Chemung,27.7,"(42.116644, -76.812331)",1,Finger Lakes Donor Recovery Network,69003,19115,2012,01,2012-01-01
50477,01 (Jan),Chenango,21.81,"(42.481798, -75.570013)",1,Finger Lakes Donor Recovery Network,39211,8552,2012,01,2012-01-01
82128,01 (Jan),Clinton,26.25,"(44.731944, -73.548883)",1,Center for Donation and Transplant in New York,63797,16748,2012,01,2012-01-01
63096,01 (Jan),Columbia,29.37,"(42.276913, -73.682168)",1,Center for Donation and Transplant in New York,49013,14396,2012,01,2012-01-01
49336,01 (Jan),Cortland,26.7,"(42.597101, -76.143291)",1,Finger Lakes Donor Recovery Network,38324,10233,2012,01,2012-01-01
47980,01 (Jan),Delaware,20.16,"(42.242972, -74.997944)",1,Center for Donation and Transplant in New York,37271,7515,2012,01,2012-01-01
297488,01 (Jan),Dutchess,22.24,"(41.686216, -73.840468)",1,Center for Donation and Transplant in New York,231089,51393,2012,01,2012-01-01
919040,01 (Jan),Erie,26.7,"(42.888143, -78.795544)",1,UNYTS,713910,190648,2012,01,2012-01-01
39370,01 (Jan),Essex,28.24,"(44.166026, -73.685145)",1,Center for Donation and Transplant in New York,30583,8637,2012,01,2012-01-01
51599,01 (Jan),Franklin,24.69,"(44.705699, -74.340621)",1,Center for Donation and Transplant in New York,40082,9897,2012,01,2012-01-01
55531,01 (Jan),Fulton,20.98,"(43.06014, -74.331296)",1,Center for Donation and Transplant in New York,43136,9049,2012,01,2012-01-01
60079,01 (Jan),Genesee,28.4,"(43.000121, -78.172679)",1,UNYTS,46669,13256,2012,01,2012-01-01
49221,01 (Jan),Greene,25.22,"(42.298326, -73.973376)",1,Center for Donation and Transplant in New York,38235,9641,2012,01,2012-01-01
4836,01 (Jan),Hamilton,28.29,"(43.618468, -74.395268)",1,Center for Donation and Transplant in New York,3757,1063,2012,01,2012-01-01
64519,01 (Jan),Herkimer,24.22,"(43.070026, -74.994246)",1,Center for Donation and Transplant in New York,50118,12138,2012,01,2012-01-01
116229,01 (Jan),Jefferson,28.67,"(44.019295, -75.898971)",1,Finger Lakes Donor Recovery Network,90287,25885,2012,01,2012-01-01
2504700,01 (Jan),Kings,9.78,"(40.65642, -73.950691)",1,New York Organ Donor Network,1945651,190252,2012,01,2012-01-01
27087,01 (Jan),Lewis,28.84,"(43.785537, -75.446296)",1,Finger Lakes Donor Recovery Network,21041,6069,2012,01,2012-01-01
65393,01 (Jan),Livingston,25.89,"(42.763754, -77.765392)",1,Finger Lakes Donor Recovery Network,50797,13150,2012,01,2012-01-01
73442,01 (Jan),Madison,23.54,"(42.986917, -75.720031)",1,Finger Lakes Donor Recovery Network,57050,13427,2012,01,2012-01-01
744344,01 (Jan),Monroe,21.94,"(43.161748, -77.620143)",1,Finger Lakes Donor Recovery Network,578206,126869,2012,01,2012-01-01
50219,01 (Jan),Montgomery,19.68,"(42.933637, -74.341972)",1,Center for Donation and Transplant in New York,39010,7678,2012,01,2012-01-01
1339532,01 (Jan),Nassau,16.07,"(40.715749, -73.601185)",1,New York Organ Donor Network,1040548,167207,2012,01,2012-01-01
1585873,01 (Jan),New York,23.16,"(40.726966, -74.005966)",1,New York Organ Donor Network,1231906,285250,2012,01,2012-01-01
216469,01 (Jan),Niagara,31.03,"(43.134634, -78.856419)",1,UNYTS,168153,52176,2012,01,2012-01-01
234878,01 (Jan),Oneida,14.22,"(43.149482, -75.361773)",1,Center for Donation and Transplant in New York,182453,25947,2012,01,2012-01-01
467026,01 (Jan),Onondaga,24.31,"(43.065629, -76.168033)",1,Finger Lakes Donor Recovery Network,362786,88176,2012,01,2012-01-01
107931,01 (Jan),Ontario,30.12,"(42.894571, -77.252045)",1,Finger Lakes Donor Recovery Network,83841,25250,2012,01,2012-01-01
372813,01 (Jan),Orange,18.08,"(41.422459, -74.241929)",1,New York Organ Donor Network,289601,52370,2012,01,2012-01-01
42883,01 (Jan),Orleans,6.58,"(43.248394, -78.218438)",1,UNYTS,33312,2193,2012,01,2012-01-01
122109,01 (Jan),Oswego,22.34,"(43.39123, -76.31133)",1,Finger Lakes Donor Recovery Network,94854,21194,2012,01,2012-01-01
62259,01 (Jan),Otsego,26.56,"(42.564852, -75.060334)",1,Center for Donation and Transplant in New York,48363,12843,2012,01,2012-01-01
99710,01 (Jan),Putnam,23.79,"(41.41131, -73.717443)",1,New York Organ Donor Network,77455,18426,2012,01,2012-01-01
2230722,01 (Jan),Queens,8.05,"(40.749338, -73.789673)",1,New York Organ Donor Network,1732825,139407,2012,01,2012-01-01
159429,01 (Jan),Rensselaer,22.53,"(42.70098, -73.628669)",1,Center for Donation and Transplant in New York,123844,27905,2012,01,2012-01-01
468730,01 (Jan),Richmond,11.6,"(40.566763, -74.148102)",1,New York Organ Donor Network,364109,42234,2012,01,2012-01-01
311687,01 (Jan),Rockland,14.6,"(41.127287, -74.017033)",1,New York Organ Donor Network,242118,35342,2012,01,2012-01-01
219607,01 (Jan),Saratoga,32.63,"(43.00894, -73.786779)",1,Center for Donation and Transplant in New York,170591,55670,2012,01,2012-01-01
154727,01 (Jan),Schenectady,27.15,"(42.809233, -73.946838)",1,Center for Donation and Transplant in New York,120192,32632,2012,01,2012-01-01
32749,01 (Jan),Schoharie,26.87,"(42.643426, -74.434606)",1,Center for Donation and Transplant in New York,25439,6835,2012,01,2012-01-01
18343,01 (Jan),Schuyler,26.23,"(42.38593, -76.872032)",1,Finger Lakes Donor Recovery Network,14249,3737,2012,01,2012-01-01
35251,01 (Jan),Seneca,13.23,"(42.833627, -76.82753)",1,Finger Lakes Donor Recovery Network,27383,3624,2012,01,2012-01-01
98990,01 (Jan),Steuben,27.28,"(42.270053, -77.324618)",1,Finger Lakes Donor Recovery Network,76895,20980,2012,01,2012-01-01
111944,01 (Jan),St Lawrence,24.33,"(44.689468, -75.242045)",1,Center for Donation and Transplant in New York,86958,21161,2012,01,2012-01-01
1493350,01 (Jan),Suffolk,20.68,"(40.820237, -73.119032)",1,New York Organ Donor Network,1160034,239928,2012,01,2012-01-01
77547,01 (Jan),Sullivan,17.62,"(41.705166, -74.711705)",1,Center for Donation and Transplant in New York,60239,10612,2012,01,2012-01-01
51125,01 (Jan),Tioga,27.26,"(42.120252, -76.29595)",1,Center for Donation and Transplant in New York,39714,10828,2012,01,2012-01-01
101564,01 (Jan),Tompkins,38.81,"(42.461024, -76.478784)",1,Finger Lakes Donor Recovery Network,78895,30619,2012,01,2012-01-01
19378102,01 (Jan),TOTAL NYS,17.8,NA,1,NA,15052907,2679958,2012,01,2012-01-01
182493,01 (Jan),Ulster,22.7,"(41.848374, -74.099412)",1,Center for Donation and Transplant in New York,141761,32186,2012,01,2012-01-01
65707,01 (Jan),Warren,21.52,"(43.403024, -73.716044)",1,Center for Donation and Transplant in New York,51041,10984,2012,01,2012-01-01
63216,01 (Jan),Washington,21.8,"(43.289513, -73.454761)",1,Center for Donation and Transplant in New York,49106,10706,2012,01,2012-01-01
93772,01 (Jan),Wayne,20.81,"(43.144336, -77.117995)",1,Finger Lakes Donor Recovery Network,72842,15156,2012,01,2012-01-01
949113,01 (Jan),Westchester,17.25,"(41.039278, -73.805386)",1,New York Organ Donor Network,737271,127207,2012,01,2012-01-01
25348,01 (Jan),Yates,27.2,"(42.634338, -77.078311)",1,Finger Lakes Donor Recovery Network,19690,5356,2012,01,2012-01-01
304204,12 (Dec),Albany,21.76,"(42.678066, -73.814233)",12,Center for Donation and Transplant in New York,236306,51417,2011,01,2011-12-01
48946,12 (Dec),Allegany,25.56,"(42.226801, -78.020567)",12,UNYTS,38021,9718,2011,01,2011-12-01
1385108,12 (Dec),Bronx,8.3,"(40.85589, -73.868294)",12,New York Organ Donor Network,1075952,89350,2011,01,2011-12-01
200600,12 (Dec),Broome,25.03,"(42.122015, -75.933191)",12,Center for Donation and Transplant in New York,155826,39005,2011,01,2011-12-01
80317,12 (Dec),Cattauragus,35.71,"(42.224267, -78.606673)",12,UNYTS,62390,22278,2011,01,2011-12-01
80026,12 (Dec),Cayuga,21.4,"(42.940095, -76.560755)",12,Finger Lakes Donor Recovery Network,62164,13304,2011,01,2011-12-01
134905,12 (Dec),Chautauqua,29.97,"(42.246904, -79.315313)",12,UNYTS,104794,31408,2011,01,2011-12-01
88830,12 (Dec),Chemung,27.43,"(42.116644, -76.812331)",12,Finger Lakes Donor Recovery Network,69003,18927,2011,01,2011-12-01
50477,12 (Dec),Chenango,21.64,"(42.481798, -75.570013)",12,Finger Lakes Donor Recovery Network,39211,8484,2011,01,2011-12-01
82128,12 (Dec),Clinton,26.06,"(44.731944, -73.548883)",12,Center for Donation and Transplant in New York,63797,16623,2011,01,2011-12-01
63096,12 (Dec),Columbia,29.17,"(42.276913, -73.682168)",12,Center for Donation and Transplant in New York,49013,14296,2011,01,2011-12-01
49336,12 (Dec),Cortland,26.48,"(42.597101, -76.143291)",12,Finger Lakes Donor Recovery Network,38324,10148,2011,01,2011-12-01
47980,12 (Dec),Delaware,19.91,"(42.242972, -74.997944)",12,Center for Donation and Transplant in New York,37271,7421,2011,01,2011-12-01
297488,12 (Dec),Dutchess,22.05,"(41.686216, -73.840468)",12,Center for Donation and Transplant in New York,231089,50957,2011,01,2011-12-01
919040,12 (Dec),Erie,26.46,"(42.888143, -78.795544)",12,UNYTS,713910,188930,2011,01,2011-12-01
39370,12 (Dec),Essex,28.01,"(44.166026, -73.685145)",12,Center for Donation and Transplant in New York,30583,8567,2011,01,2011-12-01
51599,12 (Dec),Franklin,24.44,"(44.705699, -74.340621)",12,Center for Donation and Transplant in New York,40082,9798,2011,01,2011-12-01
55531,12 (Dec),Fulton,20.72,"(43.06014, -74.331296)",12,Center for Donation and Transplant in New York,43136,8938,2011,01,2011-12-01
60079,12 (Dec),Genesee,28.22,"(43.000121, -78.172679)",12,UNYTS,46669,13168,2011,01,2011-12-01
49221,12 (Dec),Greene,24.86,"(42.298326, -73.973376)",12,Center for Donation and Transplant in New York,38235,9505,2011,01,2011-12-01
4836,12 (Dec),Hamilton,27.89,"(43.618468, -74.395268)",12,Center for Donation and Transplant in New York,3757,1048,2011,01,2011-12-01
64519,12 (Dec),Herkimer,23.92,"(43.070026, -74.994246)",12,Center for Donation and Transplant in New York,50118,11988,2011,01,2011-12-01
116229,12 (Dec),Jefferson,28.4,"(44.019295, -75.898971)",12,Finger Lakes Donor Recovery Network,90287,25645,2011,01,2011-12-01
2504700,12 (Dec),Kings,9.67,"(40.65642, -73.950691)",12,New York Organ Donor Network,1945651,188071,2011,01,2011-12-01
27087,12 (Dec),Lewis,28.71,"(43.785537, -75.446296)",12,Finger Lakes Donor Recovery Network,21041,6041,2011,01,2011-12-01
65393,12 (Dec),Livingston,25.66,"(42.763754, -77.765392)",12,Finger Lakes Donor Recovery Network,50797,13037,2011,01,2011-12-01
73442,12 (Dec),Madison,23.25,"(42.986917, -75.720031)",12,Finger Lakes Donor Recovery Network,57050,13264,2011,01,2011-12-01
744344,12 (Dec),Monroe,21.76,"(43.161748, -77.620143)",12,Finger Lakes Donor Recovery Network,578206,125813,2011,01,2011-12-01
50219,12 (Dec),Montgomery,19.53,"(42.933637, -74.341972)",12,Center for Donation and Transplant in New York,39010,7618,2011,01,2011-12-01
1339532,12 (Dec),Nassau,15.91,"(40.715749, -73.601185)",12,New York Organ Donor Network,1040548,165576,2011,01,2011-12-01
1585873,12 (Dec),New York,22.95,"(40.726966, -74.005966)",12,New York Organ Donor Network,1231906,282662,2011,01,2011-12-01
216469,12 (Dec),Niagara,30.79,"(43.134634, -78.856419)",12,UNYTS,168153,51773,2011,01,2011-12-01
234878,12 (Dec),Oneida,14.05,"(43.149482, -75.361773)",12,Center for Donation and Transplant in New York,182453,25636,2011,01,2011-12-01
467026,12 (Dec),Onondaga,24.07,"(43.065629, -76.168033)",12,Finger Lakes Donor Recovery Network,362786,87340,2011,01,2011-12-01
107931,12 (Dec),Ontario,29.85,"(42.894571, -77.252045)",12,Finger Lakes Donor Recovery Network,83841,25029,2011,01,2011-12-01
372813,12 (Dec),Orange,17.9,"(41.422459, -74.241929)",12,New York Organ Donor Network,289601,51845,2011,01,2011-12-01
42883,12 (Dec),Orleans,6.52,"(43.248394, -78.218438)",12,UNYTS,33312,2172,2011,01,2011-12-01
122109,12 (Dec),Oswego,22.14,"(43.39123, -76.31133)",12,Finger Lakes Donor Recovery Network,94854,21001,2011,01,2011-12-01
62259,12 (Dec),Otsego,26.37,"(42.564852, -75.060334)",12,Center for Donation and Transplant in New York,48363,12754,2011,01,2011-12-01
99710,12 (Dec),Putnam,23.55,"(41.41131, -73.717443)",12,New York Organ Donor Network,77455,18241,2011,01,2011-12-01
2230722,12 (Dec),Queens,7.95,"(40.749338, -73.789673)",12,New York Organ Donor Network,1732825,137734,2011,01,2011-12-01
159429,12 (Dec),Rensselaer,22.28,"(42.70098, -73.628669)",12,Center for Donation and Transplant in New York,123844,27594,2011,01,2011-12-01
468730,12 (Dec),Richmond,11.47,"(40.566763, -74.148102)",12,New York Organ Donor Network,364109,41780,2011,01,2011-12-01
311687,12 (Dec),Rockland,14.43,"(41.127287, -74.017033)",12,New York Organ Donor Network,242118,34939,2011,01,2011-12-01
219607,12 (Dec),Saratoga,32.34,"(43.00894, -73.786779)",12,Center for Donation and Transplant in New York,170591,55165,2011,01,2011-12-01
154727,12 (Dec),Schenectady,26.91,"(42.809233, -73.946838)",12,Center for Donation and Transplant in New York,120192,32343,2011,01,2011-12-01
32749,12 (Dec),Schoharie,26.61,"(42.643426, -74.434606)",12,Center for Donation and Transplant in New York,25439,6769,2011,01,2011-12-01
18343,12 (Dec),Schuyler,25.95,"(42.38593, -76.872032)",12,Finger Lakes Donor Recovery Network,14249,3698,2011,01,2011-12-01
35251,12 (Dec),Seneca,13.12,"(42.833627, -76.82753)",12,Finger Lakes Donor Recovery Network,27383,3594,2011,01,2011-12-01
98990,12 (Dec),Steuben,27.04,"(42.270053, -77.324618)",12,Finger Lakes Donor Recovery Network,76895,20796,2011,01,2011-12-01
111944,12 (Dec),St Lawrence,24.33,"(44.689468, -75.242045)",12,Center for Donation and Transplant in New York,86958,21161,2011,01,2011-12-01
1493350,12 (Dec),Suffolk,20.49,"(40.820237, -73.119032)",12,New York Organ Donor Network,1160034,237674,2011,01,2011-12-01
77547,12 (Dec),Sullivan,17.44,"(41.705166, -74.711705)",12,Center for Donation and Transplant in New York,60239,10508,2011,01,2011-12-01
51125,12 (Dec),Tioga,26.98,"(42.120252, -76.29595)",12,Center for Donation and Transplant in New York,39714,10715,2011,01,2011-12-01
101564,12 (Dec),Tompkins,38.56,"(42.461024, -76.478784)",12,Finger Lakes Donor Recovery Network,78895,30423,2011,01,2011-12-01
19378102,12 (Dec),TOTAL NYS,17.63,NA,12,NA,15052907,2654358,2011,01,2011-12-01
182493,12 (Dec),Ulster,22.47,"(41.848374, -74.099412)",12,Center for Donation and Transplant in New York,141761,31851,2011,01,2011-12-01
65707,12 (Dec),Warren,21.35,"(43.403024, -73.716044)",12,Center for Donation and Transplant in New York,51041,10899,2011,01,2011-12-01
63216,12 (Dec),Washington,21.61,"(43.289513, -73.454761)",12,Center for Donation and Transplant in New York,49106,10611,2011,01,2011-12-01
93772,12 (Dec),Wayne,20.6,"(43.144336, -77.117995)",12,Finger Lakes Donor Recovery Network,72842,15009,2011,01,2011-12-01
949113,12 (Dec),Westchester,17.08,"(41.039278, -73.805386)",12,New York Organ Donor Network,737271,125928,2011,01,2011-12-01
42155,12 (Dec),Wyoming,28.8,"(42.723641, -78.204473)",12,UNYTS,32746,9432,2011,01,2011-12-01
25348,12 (Dec),Yates,26.95,"(42.634338, -77.078311)",12,Finger Lakes Donor Recovery Network,19690,5307,2011,01,2011-12-01
304204,11 (Nov),Albany,21.51,"(42.678066, -73.814233)",11,Center for Donation and Transplant in New York,236306,50838,2011,01,2011-11-01
48946,11 (Nov),Allegany,25.31,"(42.226801, -78.020567)",11,UNYTS,38021,9624,2011,01,2011-11-01
1385108,11 (Nov),Bronx,8.2,"(40.85589, -73.868294)",11,New York Organ Donor Network,1075952,88175,2011,01,2011-11-01
200600,11 (Nov),Broome,24.76,"(42.122015, -75.933191)",11,Center for Donation and Transplant in New York,155826,38590,2011,01,2011-11-01
80317,11 (Nov),Cattauragus,35.71,"(42.224267, -78.606673)",11,UNYTS,62390,22278,2011,01,2011-11-01
80026,11 (Nov),Cayuga,21.12,"(42.940095, -76.560755)",11,Finger Lakes Donor Recovery Network,62164,13132,2011,01,2011-11-01
134905,11 (Nov),Chautauqua,29.73,"(42.246904, -79.315313)",11,UNYTS,104794,31152,2011,01,2011-11-01
1493350,09 (Sep),Suffolk,19.74,"(40.820237, -73.119032)",9,New York Organ Donor Network,1160034,228996,2011,01,2011-09-01
88830,11 (Nov),Chemung,27.06,"(42.116644, -76.812331)",11,Finger Lakes Donor Recovery Network,69003,18672,2011,01,2011-11-01
50477,11 (Nov),Chenango,21.4,"(42.481798, -75.570013)",11,Finger Lakes Donor Recovery Network,39211,8391,2011,01,2011-11-01
82128,11 (Nov),Clinton,25.81,"(44.731944, -73.548883)",11,Center for Donation and Transplant in New York,63797,16464,2011,01,2011-11-01
63096,11 (Nov),Columbia,28.94,"(42.276913, -73.682168)",11,Center for Donation and Transplant in New York,49013,14184,2011,01,2011-11-01
49336,11 (Nov),Cortland,26.27,"(42.597101, -76.143291)",11,Finger Lakes Donor Recovery Network,38324,10067,2011,01,2011-11-01
47980,11 (Nov),Delaware,19.68,"(42.242972, -74.997944)",11,Center for Donation and Transplant in New York,37271,7334,2011,01,2011-11-01
297488,11 (Nov),Dutchess,21.85,"(41.686216, -73.840468)",11,Center for Donation and Transplant in New York,231089,50490,2011,01,2011-11-01
919040,11 (Nov),Erie,26.2,"(42.888143, -78.795544)",11,UNYTS,713910,187016,2011,01,2011-11-01
39370,11 (Nov),Essex,27.67,"(44.166026, -73.685145)",11,Center for Donation and Transplant in New York,30583,8461,2011,01,2011-11-01
51599,11 (Nov),Franklin,24.2,"(44.705699, -74.340621)",11,Center for Donation and Transplant in New York,40082,9701,2011,01,2011-11-01
55531,11 (Nov),Fulton,20.47,"(43.06014, -74.331296)",11,Center for Donation and Transplant in New York,43136,8831,2011,01,2011-11-01
60079,11 (Nov),Genesee,27.96,"(43.000121, -78.172679)",11,UNYTS,46669,13049,2011,01,2011-11-01
49221,11 (Nov),Greene,24.54,"(42.298326, -73.973376)",11,Center for Donation and Transplant in New York,38235,9382,2011,01,2011-11-01
4836,11 (Nov),Hamilton,27.44,"(43.618468, -74.395268)",11,Center for Donation and Transplant in New York,3757,1031,2011,01,2011-11-01
64519,11 (Nov),Herkimer,23.6,"(43.070026, -74.994246)",11,Center for Donation and Transplant in New York,50118,11827,2011,01,2011-11-01
116229,11 (Nov),Jefferson,28.15,"(44.019295, -75.898971)",11,Finger Lakes Donor Recovery Network,90287,25419,2011,01,2011-11-01
